# List of international goals scored by Artem Dzyuba
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1.0,8 September 2014,"Arena Khimki, Khimki, Russia",4,Liechtenstein,4–0,4–0,UEFA Euro 2016 qualifying
2.0,12 October 2014,"Otkritie Arena, Moscow, Russia",6,Moldova,1–0,1–1,UEFA Euro 2016 qualifying
3.0,5 September 2015,"Otkritie Arena, Moscow, Russia",10,Sweden,1–0,1–0,UEFA Euro 2016 qualifying
4.0,8 September 2015,"Rheinpark Stadion, Vaduz, Liechtenstein",11,Liechtenstein,1–0,7–0,UEFA Euro 2016 qualifying
5.0,8 September 2015,"Rheinpark Stadion, Vaduz, Liechtenstein",11,Liechtenstein,3–0,7–0,UEFA Euro 2016 qualifying
6.0,8 September 2015,"Rheinpark Stadion, Vaduz, Liechtenstein",11,Liechtenstein,4–0,7–0,UEFA Euro 2016 qualifying
7.0,8 September 2015,"Rheinpark Stadion, Vaduz, Liechtenstein",11,Liechtenstein,7–0,7–0,UEFA Euro 2016 qualifying
8.0,9 October 2015,"Zimbru Stadium, Chișinău, Moldova",12,Moldova,2–0,2–1,UEFA Euro 2016 qualifying
9.0,5 June 2016,"Stade Louis II, Fontvieille, Monaco",18,Serbia,1–0,1–1,Friendly
10.0,9 October 2016,"Krasnodar Stadium, Krasnodar, Russia",22,Costa Rica,2–3,3–4,Friendly
11.0,9 October 2016,"Krasnodar Stadium, Krasnodar, Russia",22,Costa Rica,3–3,3–4,Friendly
12.0,14 June 2018,"Luzhniki Stadium, Moscow, Russia",24,Saudi Arabia,3–0,5–0,2018 FIFA World Cup
13.0,19 June 2018,"Saint Petersburg Stadium, Saint Petersburg, Russia",25,Egypt,3–0,3–1,2018 FIFA World Cup
14.0,1 July 2018,"Luzhniki Stadium, Moscow, Russia",27,Spain,1–1,1–1,2018 FIFA World Cup
15.0,7 September 2018,"Şenol Güneş Stadium, Trabzon, Turkey",29,Turkey,2–1,2–1,2018–19 UEFA Nations League B
16.0,24 March 2019,"Astana Arena, Nur-Sultan, Kazakhstan",34,Kazakhstan,3–0,4–0,UEFA Euro 2020 qualifying
17.0,8 June 2019,"Mordovia Arena, Saransk, Russia",35,San Marino,2–0,9–0,UEFA Euro 2020 qualifying
18.0,8 June 2019,"Mordovia Arena, Saransk, Russia",35,San Marino,5–0,9–0,UEFA Euro 2020 qualifying
19.0,8 June 2019,"Mordovia Arena, Saransk, Russia",35,San Marino,6–0,9–0,UEFA Euro 2020 qualifying
20.0,8 June 2019,"Mordovia Arena, Saransk, Russia",35,San Marino,9–0,9–0,UEFA Euro 2020 qualifying
21.0,6 September 2019,"Hampden Park, Glasgow, Scotland",37,Scotland,1–1,2–1,UEFA Euro 2020 qualifying
22.0,10 October 2019,"Luzhniki Stadium, Moscow, Russia",39,Scotland,1–0,4–0,UEFA Euro 2020 qualifying
23.0,10 October 2019,"Luzhniki Stadium, Moscow, Russia",39,Scotland,3–0,4–0,UEFA Euro 2020 qualifying
24.0,13 October 2019,"GSP Stadium, Nicosia, Cyprus",40,Cyprus,3–0,5–0,UEFA Euro 2020 qualifying
25.0,3 September 2020,"VTB Arena, Moscow, Russia",43,Serbia,1–0,3–1,2020–21 UEFA Nations League B
26.0,3 September 2020,"VTB Arena, Moscow, Russia",43,Serbia,3–1,3–1,2020–21 UEFA Nations League B
27.0,24 March 2021,"National Stadium, Ta' Qali, Malta",48,Malta,1–0,3–1,2022 FIFA World Cup qualification
28.0,27 March 2021,"Fisht Olympic Stadium, Sochi, Russia",49,Slovenia,1–0,2–1,2022 FIFA World Cup qualification
29.0,27 March 2021,"Fisht Olympic Stadium, Sochi, Russia",49,Slovenia,2–0,2–1,2022 FIFA World Cup qualification
30.0,21 June 2021,"Parken Stadium, Copenhagen, Denmark",55,Denmark,1–2,1–4,UEFA Euro 2020
31.0,19 March 2025,"VTB Arena, Moscow, Russia",56,Grenada,3–0,5–0,Friendly
