# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Monaco,1990–91,Division 1,1,0,0,0,0,0,—,—,1,0
Monaco,1991–92,Division 1,19,0,4,0,4,0,—,—,27,0
Monaco,1992–93,Division 1,37,0,2,0,4,0,—,—,43,0
Monaco,1993–94,Division 1,25,1,3,1,8,1,—,—,36,3
Monaco,1994–95,Division 1,37,2,2,0,—,—,3,1,42,3
Monaco,1995–96,Division 1,36,5,3,0,2,0,3,0,44,5
Monaco,Total,Total,155,8,14,1,18,1,6,1,193,11
Parma,1996–97,Serie A,34,1,1,0,2,0,—,—,37,1
Parma,1997–98,Serie A,32,0,6,0,8,0,—,—,46,0
Parma,1998–99,Serie A,34,0,8,0,11,0,—,—,53,0
Parma,1999–2000,Serie A,33,0,2,0,10,0,2,0,47,0
Parma,2000–01,Serie A,30,0,8,0,7,0,—,—,45,0
Parma,Total,Total,163,1,25,0,38,0,2,0,228,1
Juventus,2001–02,Serie A,30,0,3,0,8,0,—,—,41,0
Juventus,2002–03,Serie A,27,1,0,0,15,0,1,0,43,1
Juventus,2003–04,Serie A,23,0,4,0,5,0,0,0,32,0
Juventus,2004–05,Serie A,37,0,1,0,11,0,—,—,49,0
Juventus,2005–06,Serie A,27,0,4,0,8,0,0,0,39,0
Juventus,Total,Total,144,1,12,0,47,0,1,0,204,1
Barcelona,2006–07,La Liga,23,0,2,0,4,0,1,0,30,0
Barcelona,2007–08,La Liga,18,0,4,0,6,0,—,—,28,0
Barcelona,Total,Total,41,0,6,0,10,0,1,0,58,0
Career total,Career total,Career total,503,10,57,1,113,1,10,1,683,13
